type,sent,ambiguity,reason
VP+的是+NP,讨厌的是少数几位敌人。,1,'讨厌的是少数几位敌人'可以理解为**少数几位敌人**对其他某事物讨厌，也可以理解为被讨厌的对象是少数几位敌人
VP+的是+NP,喜爱的是多数人。,1,'喜爱的是多数人'可以理解为多数人是喜爱的发出者，也可以理解为多数人是被喜爱的对象
VP+的是+NP,信任的是少数几位朋友。,1,'信任的是少数几位朋友'可以理解为少数几位朋友作为信任行为的发出者，也可理解为少数几位朋友作为被信任的承受者
VP+的是+NP,害怕的是多数人。,1,VP+的是+NP结构既可以理解为主动形式（多数人感到害怕），也可以理解为被动形式（多数人被他人害怕）
VP+的是+NP,怀疑的是多数人。,1,'怀疑的是多数人'可以理解为多数人作为怀疑行为的发出者，也可以理解为多数人作为被怀疑的对象
VP+的是+NP,理解的是少数几位专家。,1,'理解的是少数几位专家'可解释为'少数专家理解某事物'或'少数专家是被理解的对象'
VP+的是+NP,支持的通常是大多数人。,1,'支持的通常是大多数人'可理解为'支持别人的主体是大多数人'或'被支持的对象是大多数人'
VP+的是+NP,攻击的是敌军。,1,'攻击的是敌军'可以理解为敌军是攻击动作的发出者（主动态），也可以理解为敌军是攻击动作的承受者（被动态）
VP+的是+NP,支持的是年轻人。,1,'支持的是年轻人'可以理解为年轻人在主动支持别人，也可以理解为年轻人是被支持的对象
VP+的是+NP,关心的是孩子。,1,该句存在主被动双重解读：1.孩子作为关心的主体（主动式） 2.孩子作为被关心的客体（被动式）
VP+的是+NP,喜爱的是这个明星。,1,'喜爱的是这个明星'可理解为'明星是发出喜爱动作的主体'，也可理解为'明星是被喜爱的对象'
VP+的是+NP,批评的是几位专家。,1,'批评的是几位专家'可以表示几位专家作为批评行为的发出者，也可以表示几位专家作为被批评的对象
VP+的是+NP,喜欢的是小猫。,1,'喜爱的是小猫'可理解为'小猫是发出喜欢动作的主体'，也可理解为'小猫是被喜欢的对象'
VP+的是+NP,支持的多数人。,1,'支持的多数人'可以理解为多数人作为主体正在执行支持行为，也可以理解为多数人是被支持的对象
VP+的是+NP,恨的是一个叛徒。,1,'恨的是一个叛徒'可以理解为这个叛徒在主动恨别人，也可以理解为被大家恨的对象是这个叛徒
VP+的是+NP,爱的是一位诗人。,1,'爱的是一位诗人'可以理解为'所爱对象是一位诗人'，也可以理解为'正在爱别人的主体是一位诗人'
VP+的是+NP,嘲笑的是一个小丑。,1,'嘲笑的是一个小丑。'可以理解为小丑作为主体正在执行嘲笑行为，也可以理解为小丑是被嘲笑的对象
VP+的是+NP,支持的是一位候选人。,1,该结构既可理解为'支持行为的主体是候选人'，也可理解为'被支持的对象是候选人'
VP+的是+NP,攻击的是一只狗。,1,'攻击的是一只狗。'可以理解为狗作为主体正在执行攻击行为，也可以理解为狗是被攻击的对象
VP+的是+NP,担心的是那位老人。,1,担心的是那位老人可以理解为那位老人正在担心别人（主动行为），也可以理解为别人正在担心那位老人（被动对象）
VP+的是+NP,帮助的是一群孩子。,1,'帮助的是一群孩子'可以表示'一群孩子作为帮助行为的发出者'，也可以表示'一群孩子作为被帮助的对象'
VP+的是+NP,讨论的是几个专家。,1,"'讨论的是几个专家'可以理解为'几个专家在进行讨论(施事)',也可以理解为'被讨论的对象是几个专家(受事)'"
VP+的是+NP,尊敬的是几位前辈。,1,'尊敬的是几位前辈'可理解为'几位前辈正在尊敬他人'或'被尊敬的对象是几位前辈'
VP+的是+NP,羡慕的是那些成功人士。,1,“羡慕的是那些成功人士”可以理解为那些成功人士在羡慕别人，也可以理解为他们是被别人羡慕的对象
VP+的是+NP,讨厌的是一部分同事。,1,'讨厌的是一部分同事'可以表示'一部分同事具有令人讨厌的特质'，也可以表示'被大家讨厌的对象是一部分同事'
VP+的是+NP,喜爱的是众多粉丝。,1,'喜爱的是众多粉丝'可以理解为众多粉丝作为喜爱行为的发出者（粉丝喜爱某人），也可以理解为众多粉丝作为被喜爱的对象（某人喜爱粉丝）
VP+的是+NP,支持的是大多数选民。,1,'支持的是大多数选民'可以理解为大多数选民正在支持（主体），也可以理解为被支持的对象是大多数选民（客体）
VP+的是+NP,恨的是对手。,1,"'恨的是对手'可以理解为'正在表达恨意的是对手(对手主动发出恨的动作)',也可以理解为'被怨恨的对象是对手(对手被动承受恨意)'"
VP+的是+NP,理解的是同事。,1,'理解的是同事'可以表示同事作为理解动作的发出者，也可以表示同事作为被理解的对象
VP+的是+NP,喜欢的是孩子。,1,'喜欢的是孩子'可以理解为孩子作为喜欢动作的发出者，也可以理解为孩子是被喜欢的对象
VP+的是+NP,批评的是老师。,1,'批评的是老师'可以理解为老师作为批评行为的执行者（老师批评别人），也可以理解为老师是被批评行为的承受者（别人批评老师）
VP+的是+NP,支持的是多数人。,1,'支持的是多数人'可以理解为多数人主动执行支持动作（如投票支持某方案的是多数人），也可理解为被支持的对象是多数人（如政策实际惠及的是多数人）
VP+的是+NP,领导的是一位有远见的企业家。,1,'领导的是一位有远见的企业家'可以理解为该企业家是实施领导行为的主体，也可以理解为该企业家是被他人领导的对象
VP+的是+NP,恨的是敌人。,1,'恨的是敌人'可以理解为'敌人正在恨（某人）'（主动行为），也可以理解为'被恨的对象是敌人'（被动对象）
VP+的是+NP,爱的是亲人。,1,'爱的是亲人'可以理解为'亲人主动实施爱的行为'，也可以理解为'被爱对象是亲人'
VP+的是+NP,责备的是不负责任的人。,1,'VP+的是+NP'结构存在主被动双解：1.主动态下'不负责任的人'作为责备行为的发出者；2.被动态下'不负责任的人'作为被责备对象
VP+的是+NP,赞扬的是有才华的人。,1,'赞扬的是有才华的人'可以理解为有才华的人主动发出赞扬行为，也可以理解为有才华的人是被赞扬对象
VP+的是+NP,批评的是专业人士。,1,'批评的是专业人士'可以理解为专业人士正在执行批评行为(施事主体)，也可以理解为专业人士是被批评的对象(受事客体)
VP+的是+NP,欣赏的是艺术爱好者。,1,'欣赏的是艺术爱好者。'可以理解为艺术爱好者正在执行欣赏行为(施事主体)，也可以理解为艺术爱好者是被欣赏的对象(受事客体)
VP+的是+NP,反对的是少数派。,1,该句可理解为少数派是主动反对他人的主体，也可理解为少数派是被他人反对的客体
VP+的是+NP,表扬的是研发部。,1,'表扬的是研发部'可以理解为研发部作为表扬的发出者，也可以理解为研发部作为被表扬的对象
VP+的是+NP,误解的是新政策。,1,'误解的是新政策'可理解为新政策主动误解其他对象（施事），也可理解为新政策是被他人误解的对象（受事）
VP+的是+NP,追随的是领袖。,1,“追随的是领袖”可以理解为领袖主动执行追随动作（领袖在追随他人），也可以理解为领袖是被追随的对象（他人追随领袖）
VP+的是+NP,怀疑的是敌人。,1,'怀疑的是敌人'可以理解为敌人在实施怀疑行为，也可以理解为敌人是被怀疑的对象
VP+的是+NP,批评的是少数派。,1,'批评的是少数派'可以理解为少数派主动进行批评行为，也可以理解为少数派是被批评的对象
VP+的是+NP,启发的是创新思维。,1,'启发的是创新思维'可以理解为创新思维作为启发行为的主动实施者，也可以理解为创新思维是被启发的对象
VP+的是+NP,挑战的是极限运动爱好者。,1,'挑战的是极限运动爱好者'存在主动被动双解：既可理解为极限运动爱好者主动发起挑战，也可理解为极限运动爱好者是被挑战的对象
VP+的是+NP,鼓励的是年轻一代。,1,'鼓励的是年轻一代'可以理解为年轻一代作为鼓励行为的发出者，也可以理解为年轻一代是被鼓励的对象
VP+的是+NP,质疑的是几位专家。,1,'质疑的是几位专家'可以理解为几位专家主动发出质疑行为，也可以理解为几位专家是被质疑的对象
VP+的是+NP,质疑的是权威。,1,'质疑的是权威'可以理解为权威正在执行质疑动作，也可以理解为权威是被质疑的对象
VP+的是+NP,爱护的是孩子。,1,'爱护的是孩子'可以理解为孩子作为爱护行为的发出者（孩子在爱护他人），也可以理解为孩子作为被爱护的对象（他人爱护孩子）
VP+的是+NP,挑战的是勇士。,1,'挑战的是勇士'可以理解为勇士主动发起挑战，也可以理解为勇士是被挑战的对象
VP+的是+NP,需要的是医生。,1,该结构既可理解为医生作为动作主体在实施需求行为，也可理解为医生作为被需求的对象
VP+的是+NP,尊重的是长辈。,1,'尊重的是长辈'可以理解为长辈主动发出尊重行为，也可以理解为长辈是被尊重的对象
VP+的是+NP,理解的是父母。,1,'理解的是父母'可解释为父母主动理解他人行为，或父母作为被他人理解的对象
VP+的是+NP,支持的是球迷。,1,'支持的是球迷'可以理解为球迷作为支持行为的发出者，也可以理解为球迷作为被支持的对象
VP+的是+NP,怀疑的是侦探。,1,'怀疑的是侦探'可理解为侦探正在执行怀疑动作（侦探怀疑他人），也可理解为侦探是被怀疑对象（他人怀疑侦探）
VP+的是+NP,教育的是学生。,1,'教育的是学生'可以理解为教育别人的主体是学生(学生教育他人)，也可以理解为被教育的对象是学生(学生被教育)
VP+的是+NP,迷惑的是对手。,1,'迷惑的是对手'可以理解为对手正在主动迷惑他人，也可以理解为对手是被他人迷惑的对象
VP+的是+NP,吸引的是观众。,1,'吸引的是观众'可理解为观众主动执行吸引行为，也可理解为观众是被吸引的对象
VP+的是+NP,支持的是你。,1,'支持的是你'可以理解为'你作为支持行为的发出者'，也可以理解为'你作为被支持的对象'
VP+的是+NP,理解的是我。,1,'理解的是我'可以表示'我主动理解他人/事物'，也可以表示'我被他人理解'
VP+的是+NP,帮助的是他们。,1,'帮助的是他们'可以理解为他们作为帮助行为的执行者(他们帮助别人)，也可以理解为他们是帮助行为的接受者(别人帮助他们)
VP+的是+NP,保护的是我们。,1,“保护的是我们”可以理解为“我们”是执行保护动作的主体（我们保护别人），也可理解为“我们”是被保护的对象（别人保护我们）
VP+的是+NP,赞扬的是她。,1,'赞扬的是她'可以理解为她主动执行赞扬动作（她正在赞扬别人），也可以理解为她是被赞扬的对象（别人正在赞扬她）
VP+的是+NP,挑战的是他。,1,'挑战的是他'可以理解为他在主动发起挑战（他是挑战者），也可以理解为他是被挑战的对象（他是被挑战者）
VP+的是+NP,恨的是那个男孩。,1,'恨的是那个男孩'可以理解为'那个男孩在主动恨别人'，也可以理解为'被大家恨的对象是那个男孩'
VP+的是+NP,爱的是这个女孩。,1,'爱的是这个女孩'可理解为这个女孩主动发出爱的动作，也可理解为这个女孩是被爱的对象
VP+的是+NP,感谢的是我的父母。,1,'感谢的是我的父母'可以理解为'我的父母正在执行感谢行为（主动态）'，也可以理解为'被感谢的对象是我的父母（被动态）'
VP+的是+NP,批评的是一位老师。,1,该句可以理解为进行批评行为的主体是老师，也可以理解为被批评的对象是老师
VP+的是+NP,嘲笑的是几个朋友。,1,'嘲笑的是几个朋友'可以理解为几个朋友是嘲笑动作的发出者，也可以理解为几个朋友是被嘲笑的对象
VP+的是+NP,理解的是人性。,1,'理解的是人性'可以解释为'人性在主动进行理解行为'，也可以解释为'被理解的对象是人性'
VP+的是+NP,反对的是政府。,1,'反对的是政府'可以理解为政府作为反对行为的发出者（政府正在反对某事），也可理解为政府是被反对的对象（有人正在反对政府）
VP+的是+NP,爱的是伴侣。,1,'爱的是伴侣'可以理解为主动行为的实施者是伴侣（伴侣在爱别人），也可以理解为被爱的对象是伴侣（被爱的人是伴侣）
VP+的是+NP,依赖的是家人。,1,'依赖的是家人'可以理解为'家人在依赖他人'（家人是动作主体），也可以理解为'被依赖的对象是家人'（家人是受事客体）
VP+的是+NP,怀疑的是陌生人。,1,'怀疑的是陌生人'可以理解为陌生人在主动执行怀疑行为，也可以理解为陌生人成为被怀疑对象
VP+的是+NP,理解的是孩子。,1,'理解的是孩子。'可以理解为孩子在主动执行理解行为，也可以理解为孩子成为被理解对象
VP+的是+NP,指责的是家长。,1,'指责的是家长'可以理解为家长在实施指责行为（家长指责他人），也可以理解为家长是被指责的对象（有人指责家长）
VP+的是+NP,赞扬的是学生。,1,VP+的是+NP结构可以理解为是学生正在主动赞扬别人，也可以理解为被赞扬的对象是学生
VP+的是+NP,安慰的是一位朋友。,1,安慰的是一位朋友可以表示为朋友正在安慰别人，也可以表示为被安慰的对象是朋友
VP+的是+NP,启发的是一位艺术家。,1,“启发的是一位艺术家”可以理解为艺术家作为启发行为的主动发出者，也可以理解为艺术家是被启发的对象
VP+的是+NP,挑战的是一位运动员。,1,VP结构'挑战的'与NP'一位运动员'存在主动被动双重解读：既可能是'运动员发起挑战'，也可能是'运动员被他人挑战'
VP+的是+NP,追随的是一群年轻人。,1,“追随的是一群年轻人”可以理解为一群年轻人主动追随某人，也可以理解为被他人追随的对象是一群年轻人。
VP+的是+NP,帮助的是一位老人。,1,'帮助的是一位老人'可以理解为老人是帮助行为的实施者，也可以理解为老人是被帮助的对象
VP+的是+NP,怀疑的是一些投资者。,1,'怀疑的是一些投资者'可以理解为'执行怀疑动作的主体是投资者'，也可以理解为'被怀疑的对象是投资者'
VP+的是+NP,指责的是一名记者。,1,该结构既可理解为记者作为动作发出者进行指责，也可理解为记者作为被指责对象
VP+的是+NP,崇拜的是众多粉丝。,1,'崇拜的是众多粉丝'可以理解为众多粉丝作为崇拜行为的发出者，也可以理解为众多粉丝作为被崇拜的对象
VP+的是+NP,困扰的是一群学生。,1,该结构可理解为'主动执行困扰行为的主体是学生群体'或'被动承受困扰事件的对象是学生群体'
VP+的是+NP,敬佩的是少数人。,1,'敬佩的是少数人'可以理解为少数人主动表达敬佩（施事），也可以理解为少数人被他人敬佩（受事）
VP+的是+NP,尊重的是一些人。,1,'尊重的是一些人'可以理解为'一些人正在主动执行尊重的行为'，也可以理解为'被他人尊重的对象是某些人'
VP+的是+NP,喜欢的是很多人。,1,“喜欢的是很多人”可以理解为“有大量的人正在执行喜欢的动作（主动态）”，也可理解为“被他人喜欢的对象是群体（被动态）”。
VP+的是+NP,讨厌的是少数人。,1,'讨厌的是少数人'可理解为'少数人主动表现出讨厌行为'或'少数人作为被讨厌的对象'
VP+的是+NP,害怕的是一些人。,1,'害怕的是一些人'可以理解为是某些人感到害怕(施事)，也可以理解为被害怕的对象是某些人(受事)
VP+的是+NP,依赖的是少数人。,1,'依赖的是少数人'可理解为'少数人主动执行依赖行为'或'被他人依赖的对象是少数人'
VP+的是+NP,信任的是一些人。,1,'信任的是一些人'可以理解为是一些人主动执行信任动作，也可以理解为被信任的对象是一些人
VP+的是+NP,支持的的是很多人。,1,'支持的的是很多人。'可以理解为是'很多人'主动执行支持动作，也可以理解为被支持的对象是'很多人'
VP+的是+NP,理解的是大多数人。,1,'理解的是大多数人'可以表示大多数人作为理解动作的发出者，也可以表示大多数人作为被理解的对象
VP+的是+NP,接受的是多数人。,1,VP+的是+NP结构可以理解为NP主动执行VP动作或被VP动作作用。'接受的是多数人'可表示多数人主动接受某事物，也可表示被接受的对象是多数人
VP+的是+NP,保护的是父母。,1,'保护的是父母'可以理解为父母作为保护行为的实施者，也可以理解为父母作为被保护的对象
VP+的是+NP,喜爱的是宠物。,1,'喜爱的是宠物'可以理解为宠物正在主动进行喜爱行为，也可以理解为被他人喜爱的对象是宠物
VP+的是+NP,跟随的是领袖。,1,'跟随的是领袖'可以理解为领袖正在执行跟随行为(如领袖在跟踪某人)，也可以理解为被众人跟随的对象是领袖
VP+的是+NP,相信的是上帝。,1,'相信的是上帝'可以理解为上帝是信仰行为的发出者（上帝相信某人），也可以理解为上帝是被信仰的对象（被相信的是上帝）
VP+的是+NP,理解的是老师。,1,'理解的是老师'可以表示老师作为理解动作的执行者(老师理解别人)，也可以表示老师作为被理解的对象(别人理解老师)
VP+的是+NP,拯救的是一条生命。,1,'拯救的是一条生命'可以理解为'被拯救的对象是一条生命'，也可以理解为'正在执行拯救行为的是一条生命'
VP+的是+NP,反对的是一群抗议者。,1,'反对的是一群抗议者'可以理解为有一群抗议者正在实施反对行为，也可以理解为被他人反对的对象是一群抗议者
VP+的是+NP,支持的是一个团队。,1,'支持的是一个团队'可以理解为'有一个团队正在主动执行支持行为'，也可理解为'被支持的对象是一个团队'
VP+的是+NP,保护的是一位老人。,1,保护的是一位老人可以理解为老人是执行保护行为的主体，也可以理解为老人是被保护的对象
VP+的是+NP,伤害的是一只鸟。,1,'伤害的是一只鸟'可理解为'主动实施伤害行为的是一只鸟'，也可理解为'被伤害的对象是一只鸟'
VP+的是+NP,帮助的是一个孩子。,1,'帮助的是一个孩子'存在施事与受事歧义，可理解为主动帮助他人的主体是孩子，也可理解为被帮助的对象是孩子
VP+的是+NP,躲避的是一头野猪。,1,'躲避的是一头野猪'可理解为野猪作为躲避动作的主动执行者（野猪在躲避他人），也可理解为野猪作为被躲避的客体（他人躲避野猪）
VP+的是+NP,追捕的是一群猎犬。,1,'VP+的是+NP'结构可以理解为猎犬主动进行追捕（NP执行VP），也可理解为猎犬是被追捕的对象（NP承受VP）
VP+的是+NP,攻击的是一只老虎。,1,'攻击的是一只老虎'可以理解为发动攻击的主体是老虎，也可以理解为被攻击的对象是老虎
VP+的是+NP,忽视的是少数人。,1,'忽视的是少数人'可以理解为少数人主动执行忽视行为，也可以理解为少数人是被他人忽视的对象
VP+的是+NP,尊重的是大多数人。,1,'尊重的是大多数人'可以理解为大多数人在执行尊重的行为，也可以理解为被尊重的对象是大多数人
VP+的是+NP,怀疑的是少数人。,1,'怀疑的是少数人'可以理解为少数人主动发出怀疑行为，也可以理解为少数人是被怀疑的对象
VP+的是+NP,信任的是多数人。,1,'信任的是多数人'可以理解为被信任的对象是多数人(被动义)，也可以理解为执行信任动作的主体是多数人(主动义)
VP+的是+NP,拒绝的是少数人。,1,该结构既可理解为'少数人正在执行拒绝行为'，也可理解为'少数人是被拒绝的对象'
VP+的是+NP,接受的是大多数人。,1,该结构既可理解为'大多数人正在执行接受行为'，也可理解为'大多数人是被接受的对象'
VP+的是+NP,不喜欢的是少数孩子。,1,'不喜欢的是少数孩子'可以理解为少数孩子作为主体主动不喜欢某事物，也可理解为被他人不喜欢的对象是少数孩子
VP+的是+NP,喜欢的是大多数孩子。,1,该句可以理解为大多数孩子作为喜欢的主体（大多数孩子喜欢某人/物），也可理解为大多数孩子作为被喜欢的对象（某人/物喜欢大多数孩子）
VP+的是+NP,反对的是错误。,1,'反对的是错误'可以理解为错误作为主体执行反对行为，也可以理解为错误是被反对的对象
VP+的是+NP,支持的是正义。,1,'支持的是正义'可以理解为正义作为主体执行支持动作，也可以理解为正义作为被支持的对象
VP+的是+NP,影响的是决策者。,1,'影响的是决策者'可以理解为决策者主动施加影响，也可以理解为决策者被动接受影响
VP+的是+NP,威胁的是安全。,1,威胁的是安全可以理解为安全正在发出威胁动作，也可以理解为被威胁的对象是安全
VP+的是+NP,伤害的是无辜者。,1,'伤害的是无辜者'可以理解为无辜者正在伤害他人，也可以理解为他人在伤害无辜者
VP+的是+NP,造成困扰的是他们。,1,'造成困扰的是他们'可以理解为'他们主动制造了困扰'，也可理解为'他们是被困扰的对象'
VP+的是+NP,帮助的是弱者。,1,该句既可理解为'实施帮助行为的主体是弱者'(弱者帮助他人)，也可理解为'被帮助的对象是弱者'(他人帮助弱者)
VP+的是+NP,忽视的是陌生人。,1,'忽视的是陌生人'可以理解为陌生人正在执行忽视行为，也可以理解为被忽视的对象是陌生人
VP+的是+NP,原谅的是敌人。,1,'原谅的是敌人'可理解为敌人主动执行原谅动作，或被他人原谅的对象是敌人
VP+的是+NP,指责的是朋友。,1,'VP+的是+NP'结构可以理解为朋友主动进行指责行为，也可以理解为朋友是被指责的对象
VP+的是+NP,怀疑的是专家意见。,1,'怀疑的是专家意见'可以理解为专家意见作为怀疑主体正在怀疑其他事物，也可理解为专家意见作为被怀疑对象正被他人怀疑
VP+的是+NP,赞美的是艺术。,1,'赞美的是艺术'可以理解为艺术是赞美行为的发出者，也可以理解为艺术是被赞美的对象
VP+的是+NP,激励的是年轻一代。,1,'激励的是年轻一代'可以理解为年轻一代主动发出激励行为，也可理解为年轻一代是被激励的对象
VP+的是+NP,困扰的是政策制定者。,1,'VP+的是+NP'结构可理解为政策制定者主动产生困扰情绪，也可理解为政策制定者是被他人困扰的对象
VP+的是+NP,吸引的是国际投资者。,1,'吸引的是国际投资者'可以理解为国际投资者主动进行吸引行为，也可以理解为国际投资者是被吸引的对象
VP+的是+NP,追随的是现代潮流。,1,'追随的是现代潮流'可以理解为现代潮流作为主体进行追随行为，也可以理解为现代潮流作为被追随的客体
VP+的是+NP,支持的是创新型企业。,1,'支持的是创新型企业'结构可以理解为创新型企业主动进行支持行为，也可理解为创新型企业是被支持的对象
VP+的是+NP,保护的是濒危物种。,1,'保护的是濒危物种'可以理解为濒危物种在主动执行保护动作，也可以理解为濒危物种是被保护的对象。
VP+的是+NP,挑战的是经验丰富的选手。,1,'挑战的是经验丰富的选手'可以理解为经验丰富的选手主动发起挑战，也可以理解为经验丰富的选手是被挑战的对象
VP+的是+NP,启发的是未来的领袖。,1,'启发的是未来的领袖'可以理解为未来的领袖是启发行为的执行者，也可以理解为未来的领袖是被启发的对象。
VP+的是+NP,教育的是有潜力的学生。,1,'教育的是有潜力的学生'可理解为'有潜力的学生正在执行教育行为(主动态)'或'有潜力的学生是被教育的对象(被动态)'
VP+的是+NP,安慰的是哭泣的孩子。,1,'安慰的是哭泣的孩子'可以理解为'哭泣的孩子正在安慰他人'，也可以理解为'被安慰的对象是哭泣的孩子'
VP+的是+NP,鼓励的是年轻的运动员。,1,'鼓励的是年轻的运动员'可以理解为年轻运动员主动执行鼓励行为，也可以理解为年轻运动员是被鼓励的对象
VP+的是+NP,指责的是相关部门。,1,该句可理解为'相关部门是发出指责的主体'或'相关部门是被指责的对象'
VP+的是+NP,伤害的是无辜的儿童。,1,'伤害的是无辜的儿童'可以理解为无辜的儿童正在实施伤害行为，也可以理解为无辜的儿童是被伤害的对象
VP+的是+NP,帮助的是许多志愿者。,1,'帮助的是许多志愿者'可以理解为许多志愿者正在帮助他人，也可以理解为被帮助的对象是许多志愿者
VP+的是+NP,批评的是几位老师。,1,'批评的是几位老师'可以理解为几位老师作为批评行为的发出者，也可以理解为几位老师作为被批评的接受者
VP+的是+NP,质疑的是真相。,1,VP+的是+NP结构存在主动被动歧义，可以理解为'真相正在执行质疑行为'或'被质疑的对象是真相'
VP+的是+NP,赞美的是才华。,1,'赞美的是才华'可以理解为才华作为主体正在执行赞美动作，也可以理解为才华是被赞美的对象
VP+的是+NP,批评的是观点。,1,'批评的是观点'既可以理解为观点正在实施批评动作（观点批评他人），也可以理解为观点是被批评对象（他人批评观点）
VP+的是+NP,支持的是信念。,1,'支持的是信念'可以理解为信念作为主动支持的主体(信念正在支持某个对象)，也可以理解为信念是被支持的对象(某个主体在支持信念)
VP+的是+NP,崇拜的是英雄。,1,该结构既可理解为'执行崇拜动作的主体是英雄'，也可理解为'被崇拜的对象是英雄'
VP+的是+NP,害怕的是敌人。,1,'害怕的是敌人'可以理解为敌人感到害怕，也可以理解为被他人害怕的对象是敌人
VP+的是+NP,质疑的是记者。,1,'质疑的是记者'可以理解为记者主动提出质疑，也可以理解为记者是被质疑的对象
VP+的是+NP,支持的是政府。,1,'支持的是政府'可以理解为政府作为支持动作的发出者，也可以理解为政府是被支持的对象
VP+的是+NP,挑战的是年轻人。,1,'挑战的是年轻人'可以理解为年轻人在主动发起挑战，也可以理解为年轻人是被挑战的对象
VP+的是+NP,尊敬的是这位慈善家。,1,‘尊敬的是这位慈善家’可理解为这位慈善家正在主动尊敬他人（VP由NP发出），也可理解为被尊敬的对象是这位慈善家（NP被VP支配）
VP+的是+NP,反对的是一部分议员。,1,'反对的是一部分议员'可以表示一部分议员正在反对他人，也可以表示被他人反对的对象是一部分议员
VP+的是+NP,崇拜的是这位音乐家。,1,'崇拜的是这位音乐家'可以理解为这位音乐家是发出崇拜动作的主体（即音乐家崇拜某人），也可以理解为这位音乐家是被崇拜的对象（即某人崇拜音乐家）。
VP+的是+NP,支持的是老师。,1,'支持的是老师'可以理解为老师作为支持行为的发出者，也可以理解为老师是被支持的对象
